City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,afaahiti,-17.75,-149.2833,25.89,76,99,3.73,PF,1736356134
82,bloemfontein,-29.1211,26.214,27.27,11,1,3.13,ZA,1736356135
83,nantucket,41.2835,-70.0995,-2.14,55,3,14.93,US,1736355590
84,luganville,-15.5333,167.1667,25.76,87,91,1.62,VU,1736356137
85,vadso,70.0744,29.7487,-4.91,74,75,5.14,NO,1736356138
86,berezovyy,51.6667,135.7,-10.89,77,100,2.82,RU,1736356139
87,ushuaia,-54.8,-68.3,13.81,58,20,2.57,AR,1736355558
88,georgetown,5.4112,100.3354,28.96,74,20,2.06,MY,1736356142
89,nova vicosa,-17.8919,-39.3719,30.04,59,79,4.75,BR,1736355555
90,hamilton,39.1834,-84.5333,-3.56,73,100,4.63,US,1736355868
91,constantia,44.1833,28.65,9.38,77,21,3.52,RO,1736355755
92,iqaluit,63.7506,-68.5145,-20.15,76,100,12.86,CA,1736355655
93,fandriana,-20.2333,47.3833,19.7,77,62,1.25,MG,1736356147
94,saldanha,-33.0117,17.9442,19.51,76,0,6.04,ZA,1736356148
95,usinsk,65.9939,57.5281,-25.02,100,89,3.9,RU,1736356150
96,hereford,52.0568,-2.7148,1.86,92,100,2.34,GB,1736356104
97,punta arenas,-53.15,-70.9167,12.06,71,75,10.8,CL,1736356125
98,abadeh,31.1608,52.6506,2.47,46,93,2.22,IR,1736356153
99,medicine hat,50.0501,-110.6683,4.24,72,100,9.77,CA,1736355362
100,olonkinbyen,70.9221,-8.7187,-5.77,74,98,4.22,SJ,1736356156
101,at taj,24.2049,23.2857,15.72,34,100,2.25,LY,1736356158
102,luderitz,-26.6481,15.1594,20.41,63,0,12.21,NA,1736355823
103,north side,19.35,-81.2,25.04,77,75,5.66,KY,1736356160
104,stanley,54.868,-1.6985,-1.99,81,0,2.06,GB,1736355878
105,piacabucu,-10.4056,-36.4344,29.81,56,97,6.33,BR,1736356162
106,novo aripuana,-5.1206,-60.3797,25.71,86,99,1.49,BR,1736355998
107,kimbe,-5.5502,150.1429,25.33,89,81,0.77,PG,1736356165
108,anadyr,64.75,177.4833,-23.72,77,0,5.0,RU,1736356166
109,san mariano,7.5,126.0,22.64,96,88,0.81,PH,1736356167
110,gotsucho,35.0,132.2167,5.99,67,97,11.71,JP,1736356169
111,bemidji,47.4736,-94.8803,-12.19,77,75,4.12,US,1736356170
112,bondo,3.8146,23.6866,26.49,34,47,0.87,CD,1736356171
113,atafu village,-8.5421,-172.5159,28.11,68,100,7.42,TK,1736356061
114,hawaiian paradise park,19.5933,-154.9731,19.94,71,0,2.31,US,1736355590
115,mount gambier,-37.8333,140.7667,18.49,71,100,1.57,AU,1736355580
116,kununurra,-15.7667,128.7333,26.99,89,22,1.54,AU,1736356175
117,isangel,-19.55,169.2667,23.51,69,30,4.09,VU,1736355915
118,gadzhiyevo,69.2551,33.3362,-15.96,96,79,2.52,RU,1736355661
119,sinop,41.7711,34.8709,8.85,57,65,3.21,TR,1736356179
120,kavaratti,10.5669,72.642,27.15,68,56,1.45,IN,1736356180
121,alo,6.5486,4.2686,28.75,70,5,5.01,NG,1736356181
122,cuenca,-2.8833,-78.9833,18.08,77,91,1.46,EC,1736356182
123,egilsstadir,65.2653,-14.3948,-3.05,86,75,2.57,IS,1736355793
124,malkara,40.89,26.9011,11.73,88,40,4.75,TR,1736356184
125,ubari,26.5921,12.7805,13.88,43,0,4.08,LY,1736356185
126,hadibu,12.65,54.0333,23.53,66,31,4.73,YE,1736355608
127,marsh harbour,26.5412,-77.0636,19.81,60,80,4.62,BS,1736356188
128,kismayo,-0.3582,42.5454,25.2,86,89,6.26,SO,1736356189
129,kone,-21.0595,164.8658,23.26,73,87,1.38,NC,1736355713
130,papao,-17.75,-149.55,25.82,70,96,2.2,PF,1736355711
131,shevchenko,48.5,35.0,9.62,85,100,4.25,UA,1736356192
132,castillos,-34.1667,-53.8333,24.86,44,6,5.38,UY,1736356068
133,alofi,-19.0595,-169.9187,24.94,94,75,2.06,NU,1736355877
134,santiago de cao,-7.9589,-79.2392,20.07,83,20,5.66,PE,1736356195
135,turpan,42.9333,89.1667,-2.81,43,19,0.61,CN,1736355596
136,puerto aysen,-45.4,-72.7,17.23,75,82,3.44,CL,1736356197
137,halle (saale),51.5,12.0,2.11,81,0,2.06,DE,1736356199
138,senillosa,-39.0,-68.4167,34.79,10,0,6.79,AR,1736356200
139,canelones,-34.6444,-56.2886,27.01,44,20,4.63,UY,1736356202
140,grand falls-windsor,48.9332,-55.6649,1.39,90,100,1.08,CA,1736356203
141,yarkovo,57.4028,67.0786,-16.64,98,91,1.98,RU,1736356204
142,manta,-0.95,-80.7333,29.88,66,40,3.6,EC,1736356205
143,altai,46.3722,96.2583,-16.38,72,99,1.71,MN,1736356206
144,isetskoye,56.4858,65.3226,-11.34,96,100,2.66,RU,1736356208
145,turtas,58.9417,69.1325,-26.38,100,56,1.43,RU,1736356209
146,kodiak,57.79,-152.4072,0.73,86,0,0.0,US,1736356210
147,nuku'alofa,-21.1333,-175.2,22.19,88,75,2.06,TO,1736356211
148,palmer,42.1584,-72.3287,-2.7,41,20,11.83,US,1736356212
149,saipan,15.1355,145.701,25.92,89,40,4.63,MP,1736356157
150,kailua-kona,19.6406,-155.9956,20.31,81,0,0.89,US,1736356214
151,maceio,-9.6658,-35.7353,32.69,55,20,7.72,BR,1736355963
152,vorkuta,67.5,64.0,-28.39,100,100,1.49,RU,1736355738
153,touros,-5.1989,-35.4608,29.67,61,89,5.31,BR,1736355507
154,st. john's,47.5649,-52.7093,1.65,94,100,4.63,CA,1736355946
155,newark,40.7357,-74.1724,-1.14,43,100,10.29,US,1736355564
156,prado,-17.3411,-39.2208,28.87,65,70,4.81,BR,1736355949
157,karasu,41.071,30.7854,13.4,61,34,1.89,TR,1736356222
158,enewetak,11.3474,162.3373,27.03,83,14,8.92,MH,1736356033
159,port lincoln,-34.7333,135.8667,19.17,78,96,3.6,AU,1736356055
160,lihue,21.9789,-159.3672,21.77,94,100,1.54,US,1736356225
161,mbandaka,0.0487,18.2603,28.0,53,79,1.07,CD,1736355771
162,sao gabriel da cachoeira,-0.1303,-67.0892,34.55,44,98,0.85,BR,1736356228
163,porto novo,6.4965,2.6036,30.05,62,41,3.69,BJ,1736356229
164,chinchilla,-26.75,150.6333,19.45,89,55,0.45,AU,1736356230
165,pathein,16.7833,94.7333,20.41,88,0,2.89,MM,1736356231
166,tazovsky,67.4667,78.7,-29.31,100,35,1.02,RU,1736356232
167,zheleznogorsk-ilimskiy,56.5768,104.1217,-25.11,95,90,1.49,RU,1736356233
168,san antonio de pale,-1.4014,5.6325,27.52,76,76,3.3,GQ,1736356234
169,puerto baquerizo moreno,-0.9,-89.6,27.55,74,40,8.23,EC,1736356235
170,grand baie,-20.0182,57.5802,27.47,82,0,2.24,MU,1736356045
171,badger,64.8,-147.5333,-11.68,88,75,0.0,US,1736356238
172,harstad,68.799,16.5293,-4.36,73,100,3.58,NO,1736356239
173,talnakh,69.4865,88.3972,-19.71,98,100,2.57,RU,1736356240
174,inirida,3.8653,-67.9239,32.34,53,96,0.74,CO,1736355722
175,horsham,51.064,-0.3272,1.29,85,75,3.09,GB,1736356242
176,urangan,-25.3,152.9,24.5,71,35,4.49,AU,1736356243
177,khovd,48.0056,91.6419,-15.94,97,100,1.15,MN,1736355774
178,tarauaca,-8.1614,-70.7656,25.82,78,99,0.49,BR,1736356245
179,flying fish cove,-10.4217,105.6791,25.82,94,100,3.09,CX,1736355849
180,aykhal,66.0,111.5,-17.81,96,100,3.1,RU,1736356248
181,borba,-4.3878,-59.5939,31.65,58,98,1.31,BR,1736356249
182,ghat,24.9647,10.1728,14.26,30,0,4.14,LY,1736356250
183,uturoa,-16.7333,-151.4333,27.22,70,79,2.49,PF,1736355763
184,richards bay,-28.783,32.0377,23.1,86,100,5.22,ZA,1736356252
185,nouadhibou,20.931,-17.0347,25.99,25,12,4.12,MR,1736356253
186,vilyuchinsk,52.9306,158.4028,-5.85,81,100,3.13,RU,1736355945
187,ribeira grande,38.5167,-28.7,19.32,82,40,10.73,PT,1736355671
